pattern_id,pattern_name,pattern_subheading,pattern_company,pattern_number,pattern_thumbnail,pattern_size
1,Chlidonias leucopterus,Drama,MedChem Manufacturing Inc. dba Enovachem,1,http://dummyimage.com/137x100.png/ff4444/ffffff,L
2,Grus canadensis,Action|Crime|Drama,"Antigen Laboratories, Inc.",2,http://dummyimage.com/152x100.png/cc0000/ffffff,S
3,Panthera pardus,Comedy,Cardinal Health,3,http://dummyimage.com/177x100.png/5fa2dd/ffffff,3XL
4,Odocoileus hemionus,Drama,RedPharm Drug Inc.,4,http://dummyimage.com/182x100.png/5fa2dd/ffffff,S
5,Anser anser,Documentary,"Western Family Foods, Inc",5,http://dummyimage.com/133x100.png/5fa2dd/ffffff,L
6,Cochlearius cochlearius,Horror|Thriller,Rebel Distributors Corp,6,http://dummyimage.com/227x100.png/dddddd/000000,XS
7,Vanellus sp.,Drama,"Lannett Company, Inc.",7,http://dummyimage.com/124x100.png/cc0000/ffffff,L
8,Plegadis falcinellus,Drama,Ricola USA Inc.,8,http://dummyimage.com/128x100.png/dddddd/000000,XL
9,Capreolus capreolus,Comedy|Drama,"Novartis Consumer Health, Inc.",9,http://dummyimage.com/128x100.png/cc0000/ffffff,S
10,Acrantophis madagascariensis,Adventure|Drama|Romance,"ALK-Abello, Inc.",10,http://dummyimage.com/249x100.png/cc0000/ffffff,L
11,Zalophus californicus,Documentary,"Elizabeth Arden, Inc",11,http://dummyimage.com/198x100.png/dddddd/000000,XS
12,Nucifraga columbiana,Action|Horror,Bryant Ranch Prepack,12,http://dummyimage.com/187x100.png/ff4444/ffffff,3XL
13,Choloepus hoffmani,Drama,Sanum Kehlbeck GmbH & Co. KG,13,http://dummyimage.com/231x100.png/ff4444/ffffff,M
14,Connochaetus taurinus,Comedy|Romance,Valeant Pharmaceuticals North America LLC,14,http://dummyimage.com/146x100.png/ff4444/ffffff,3XL
15,Eolophus roseicapillus,Drama|Mystery|Thriller,"CooperSurgical, Inc.",15,http://dummyimage.com/127x100.png/cc0000/ffffff,XL
16,Corvus albicollis,Musical,"Nelco Laboratories, Inc.",16,http://dummyimage.com/243x100.png/ff4444/ffffff,M
17,Manouria emys,Documentary,REMEDYREPACK INC.,17,http://dummyimage.com/134x100.png/5fa2dd/ffffff,S
18,Bos mutus,Comedy|Drama|War,"Mutual Pharmaceutical Company, Inc.",18,http://dummyimage.com/159x100.png/cc0000/ffffff,M
19,Rhabdomys pumilio,Documentary,"NCS HealthCare of KY, Inc dba Vangard Labs",19,http://dummyimage.com/113x100.png/cc0000/ffffff,L
20,Tenrec ecaudatus,Comedy,Kroger Company,20,http://dummyimage.com/211x100.png/dddddd/000000,2XL
21,Pytilia melba,Animation|Children|Mystery,Washington Homeopathic Products,21,http://dummyimage.com/223x100.png/5fa2dd/ffffff,M
22,Chelodina longicollis,Thriller,"Roxane Laboratories, Inc",22,http://dummyimage.com/108x100.png/dddddd/000000,3XL
23,Leprocaulinus vipera,Comedy|Drama|Romance,Mylan Institutional Inc.,23,http://dummyimage.com/103x100.png/5fa2dd/ffffff,2XL
24,Calyptorhynchus magnificus,Action|Comedy,Jafra cosmetics International,24,http://dummyimage.com/237x100.png/5fa2dd/ffffff,S
25,Thalasseus maximus,Adventure|Drama,Uriel Pharmacy Inc.,25,http://dummyimage.com/114x100.png/5fa2dd/ffffff,3XL
26,Tachybaptus ruficollis,Action|Drama,"Preferred Pharmaceuticals, Inc.",26,http://dummyimage.com/175x100.png/5fa2dd/ffffff,L
27,Pseudoleistes virescens,Action|Crime,"ALK-Abello, Inc.",27,http://dummyimage.com/246x100.png/dddddd/000000,3XL
28,Ictonyx striatus,Comedy,Meijer Distribution Inc,28,http://dummyimage.com/250x100.png/5fa2dd/ffffff,3XL
29,Colobus guerza,Mystery|Thriller,Guthy-Renker LLC,29,http://dummyimage.com/172x100.png/ff4444/ffffff,L
30,Ovis canadensis,Horror,Melaleuca Inc.,30,http://dummyimage.com/246x100.png/dddddd/000000,XL
31,Felis caracal,Drama,"Antigen Laboratories, Inc.",31,http://dummyimage.com/173x100.png/5fa2dd/ffffff,XL
32,Francolinus coqui,Drama|Fantasy,DZA Brands LLC,32,http://dummyimage.com/248x100.png/5fa2dd/ffffff,2XL
33,Ara macao,Action|Animation|Comedy,Reckitt Benckiser LLC,33,http://dummyimage.com/247x100.png/ff4444/ffffff,S
34,Zonotrichia capensis,Comedy|Crime|Film-Noir,"Dispensing Solutions, Inc.",34,http://dummyimage.com/184x100.png/ff4444/ffffff,2XL
35,Hystrix cristata,Animation,Teva Pharmaceuticals USA Inc,35,http://dummyimage.com/145x100.png/dddddd/000000,M
36,Balearica pavonina,Drama,"Edenbridge Pharmaceuticals, LLC",36,http://dummyimage.com/226x100.png/ff4444/ffffff,M
37,Ursus arctos,Action|Comedy|Drama,Coltene Whaledent Inc,37,http://dummyimage.com/149x100.png/ff4444/ffffff,2XL
38,Cygnus buccinator,Adventure|Drama|Romance,Lake Erie Medical DBA Quality Care Products LLC,38,http://dummyimage.com/145x100.png/ff4444/ffffff,M
39,Graspus graspus,Comedy|Drama|Romance,Insight Pharmaceuticals,39,http://dummyimage.com/174x100.png/ff4444/ffffff,3XL
40,Picoides pubescens,War,"Antigen Laboratories, Inc.",40,http://dummyimage.com/225x100.png/cc0000/ffffff,L
41,Francolinus swainsonii,Drama,Ranbaxy Pharmaceuticals Inc.,41,http://dummyimage.com/249x100.png/cc0000/ffffff,XL
42,Francolinus swainsonii,Romance|Thriller,Gambro Renal Products,42,http://dummyimage.com/118x100.png/ff4444/ffffff,S
43,Laniarius ferrugineus,Drama|War,Cosbel S.A de C.V.,43,http://dummyimage.com/136x100.png/5fa2dd/ffffff,XL
44,Eolophus roseicapillus,Action,"Amphastar Pharmaceuticals, Inc.",44,http://dummyimage.com/187x100.png/5fa2dd/ffffff,2XL
45,Theropithecus gelada,Documentary,"Forest Laboratories, Inc.",45,http://dummyimage.com/215x100.png/ff4444/ffffff,L
46,Ciconia ciconia,Drama,Guna spa,46,http://dummyimage.com/132x100.png/5fa2dd/ffffff,3XL
47,Ictalurus furcatus,Documentary,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,47,http://dummyimage.com/110x100.png/dddddd/000000,2XL
48,Cervus elaphus,Drama|Horror,"Breckenridge Pharmaceutical, Inc.",48,http://dummyimage.com/211x100.png/cc0000/ffffff,XL
49,Dendrohyrax brucel,Drama,"Dispensing Solutions, Inc.",49,http://dummyimage.com/142x100.png/5fa2dd/ffffff,XL
50,Larus novaehollandiae,Animation|Documentary|Drama|War,"Dispensing Solutions, Inc.",50,http://dummyimage.com/112x100.png/dddddd/000000,3XL
51,Odocoileus hemionus,Action|Thriller,Freds Inc,51,http://dummyimage.com/199x100.png/ff4444/ffffff,L
52,Mustela nigripes,Comedy|Fantasy,Apotheca Company,52,http://dummyimage.com/118x100.png/dddddd/000000,2XL
53,Isoodon obesulus,Action|Drama|Western,Health Mart,53,http://dummyimage.com/177x100.png/dddddd/000000,M
54,Spilogale gracilis,Action|Adventure|Sci-Fi|IMAX,Kroger,54,http://dummyimage.com/209x100.png/cc0000/ffffff,XS
55,Anas punctata,Drama,Ranbaxy Pharmaceuticals Inc.,55,http://dummyimage.com/243x100.png/ff4444/ffffff,XL
56,Coendou prehensilis,Crime|Drama,Walgreen's Co,56,http://dummyimage.com/215x100.png/ff4444/ffffff,S
57,Felis concolor,Adventure|Children|Comedy|Fantasy,LVMH Fragrance Brands,57,http://dummyimage.com/248x100.png/ff4444/ffffff,M
58,Gyps fulvus,Comedy|Horror,"Xiamen Anna Global Co., Ltd",58,http://dummyimage.com/228x100.png/cc0000/ffffff,2XL
59,Manouria emys,Comedy,BCM Cosmetique SAS,59,http://dummyimage.com/175x100.png/cc0000/ffffff,XS
60,Felis pardalis,Horror|Sci-Fi,Woodbine Products Company,60,http://dummyimage.com/154x100.png/dddddd/000000,XS
61,Ara ararauna,Comedy|Drama,"ALK-Abello, Inc.",61,http://dummyimage.com/227x100.png/5fa2dd/ffffff,M
62,Bubalus arnee,Adventure|Children|Comedy,H E B,62,http://dummyimage.com/171x100.png/ff4444/ffffff,XL
63,Elephas maximus bengalensis,Documentary,Advacare Home Services,63,http://dummyimage.com/141x100.png/cc0000/ffffff,2XL
64,Dendrocygna viduata,Drama,Sandoz Inc.,64,http://dummyimage.com/109x100.png/dddddd/000000,XS
65,Vulpes vulpes,Action|Sci-Fi|Thriller,Rebel Distributors Corp,65,http://dummyimage.com/206x100.png/ff4444/ffffff,M
66,Plectopterus gambensis,(no genres listed),State of Florida DOH Central Pharmacy,66,http://dummyimage.com/177x100.png/5fa2dd/ffffff,M
67,Alcelaphus buselaphus caama,Comedy,Bare Escentuals Beauty Inc.,67,http://dummyimage.com/156x100.png/5fa2dd/ffffff,L
68,Axis axis,Comedy,CVS Pharmacy,68,http://dummyimage.com/118x100.png/cc0000/ffffff,L
69,Erethizon dorsatum,Drama|War,Walgreen Company,69,http://dummyimage.com/121x100.png/ff4444/ffffff,XL
70,Macropus eugenii,Crime|Film-Noir,"Mallinckrodt, Inc.",70,http://dummyimage.com/121x100.png/5fa2dd/ffffff,2XL
71,Corvus albicollis,Action|Comedy,"General Injectables & Vaccines, Inc",71,http://dummyimage.com/132x100.png/cc0000/ffffff,L
72,Procyon lotor,Comedy|Drama,Neutrogena Corporation,72,http://dummyimage.com/206x100.png/5fa2dd/ffffff,L
73,Dasyurus viverrinus,Drama|Mystery,Mylan Institutional LLC,73,http://dummyimage.com/193x100.png/dddddd/000000,XL
74,Axis axis,Comedy|Romance,Cardinal Health,74,http://dummyimage.com/191x100.png/dddddd/000000,XL
75,Macaca radiata,Drama|Fantasy|Horror|Romance|Thriller,International Beauty Exchange,75,http://dummyimage.com/172x100.png/cc0000/ffffff,2XL
76,Alces alces,Comedy|Drama|Romance,Target Corporation,76,http://dummyimage.com/212x100.png/5fa2dd/ffffff,M
77,Platalea leucordia,Drama|Romance|War,King Bio Inc.,77,http://dummyimage.com/234x100.png/cc0000/ffffff,M
78,Lorythaixoides concolor,Adventure|Animation|Children|Sci-Fi,Neutrogena Corporation,78,http://dummyimage.com/107x100.png/5fa2dd/ffffff,S
79,Phaethon aethereus,Fantasy|Horror,Mylan Institutional LLC,79,http://dummyimage.com/235x100.png/dddddd/000000,XS
80,Melanerpes erythrocephalus,Comedy|Drama,Unit Dose Services,80,http://dummyimage.com/111x100.png/5fa2dd/ffffff,3XL
81,Columba livia,Drama|War,"Preferred Pharmaceuticals, Inc.",81,http://dummyimage.com/116x100.png/ff4444/ffffff,3XL
82,Erethizon dorsatum,Musical,Par Pharmaceutical Inc.,82,http://dummyimage.com/159x100.png/dddddd/000000,XL
83,Tayassu tajacu,Comedy,West-ward Pharmaceutical Corp.,83,http://dummyimage.com/209x100.png/dddddd/000000,S
84,Conolophus subcristatus,Crime|Drama|Thriller,WALGREEN CO.,84,http://dummyimage.com/140x100.png/5fa2dd/ffffff,M
85,Aegypius tracheliotus,Crime|Drama|Thriller,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,85,http://dummyimage.com/127x100.png/dddddd/000000,XL
86,Speotyte cuniculata,Drama|Romance,"Pure Source, Inc.",86,http://dummyimage.com/215x100.png/ff4444/ffffff,XS
87,Leptoptilus dubius,Adventure|Drama|Thriller,SHISEIDO AMERICAS CORPORATION,87,http://dummyimage.com/244x100.png/5fa2dd/ffffff,XL
88,Hyaena brunnea,Action|Crime|Thriller,"Silarx Pharmaceuticals, Inc",88,http://dummyimage.com/198x100.png/cc0000/ffffff,L
89,Rhea americana,Crime|Drama,REMEDYREPACK INC.,89,http://dummyimage.com/209x100.png/ff4444/ffffff,3XL
90,Merops nubicus,Crime|Thriller,AmerisourceBergen (Good Neighbor Pharmacy),90,http://dummyimage.com/132x100.png/ff4444/ffffff,L
91,Phalaropus fulicarius,Documentary,"Nelco Laboratories, Inc.",91,http://dummyimage.com/209x100.png/cc0000/ffffff,XL
92,Tayassu tajacu,Documentary,"Preferred Pharmaceuticals, Inc.",92,http://dummyimage.com/194x100.png/dddddd/000000,XS
93,Aonyx capensis,Western,Bryant Ranch Prepack,93,http://dummyimage.com/141x100.png/ff4444/ffffff,3XL
94,Coendou prehensilis,Comedy|Romance,Aidarex Pharmaceuticals LLC,94,http://dummyimage.com/155x100.png/ff4444/ffffff,XL
95,Uraeginthus angolensis,Crime|Horror|Thriller,"Antigen Laboratories, Inc.",95,http://dummyimage.com/197x100.png/5fa2dd/ffffff,3XL
96,Procyon lotor,Comedy|Fantasy,"Nelco Laboratories, Inc.",96,http://dummyimage.com/109x100.png/ff4444/ffffff,2XL
97,Oncorhynchus nerka,Comedy|Musical,Valeant Pharmaceuticals North America LLC,97,http://dummyimage.com/176x100.png/dddddd/000000,3XL
98,Globicephala melas,Comedy,Cantrell Drug Company,98,http://dummyimage.com/196x100.png/ff4444/ffffff,2XL
99,Lorythaixoides concolor,Drama|Horror|Thriller,BluePoint Laboratories,99,http://dummyimage.com/226x100.png/ff4444/ffffff,XL
100,Ara ararauna,Drama,L'Oreal USA Products Inc,100,http://dummyimage.com/222x100.png/dddddd/000000,XL
101,Nasua narica,Action|Thriller,Sam's West Inc,101,http://dummyimage.com/164x100.png/cc0000/ffffff,2XL
102,Pavo cristatus,Comedy,HyVee Inc,102,http://dummyimage.com/113x100.png/dddddd/000000,XS
103,Terathopius ecaudatus,Comedy|Romance,Cardinal Health,103,http://dummyimage.com/157x100.png/5fa2dd/ffffff,S
104,Cynictis penicillata,Horror|Thriller,"Western Family Food, Inc.",104,http://dummyimage.com/228x100.png/5fa2dd/ffffff,2XL
105,Ciconia ciconia,Comedy|Drama|Romance,Zydus Pharmaceuticals (USA) Inc.,105,http://dummyimage.com/111x100.png/cc0000/ffffff,3XL
106,Macropus fuliginosus,Documentary,"Silarx Pharmaceuticals, Inc",106,http://dummyimage.com/117x100.png/dddddd/000000,XS
107,Hystrix indica,Drama|Romance,"Nelco Laboratories, Inc.",107,http://dummyimage.com/187x100.png/dddddd/000000,2XL
108,Myrmecobius fasciatus,Crime|Drama,Mylan Institutional Inc.,108,http://dummyimage.com/105x100.png/cc0000/ffffff,3XL
109,Lutra canadensis,Sci-Fi,Procter & Gamble Manufacturing Co.,109,http://dummyimage.com/114x100.png/cc0000/ffffff,3XL
110,Lamprotornis nitens,Western,"Dispensing Solutions, Inc.",110,http://dummyimage.com/218x100.png/dddddd/000000,M
111,Bubalus arnee,(no genres listed),Bayer HealthCare Consumer Care,111,http://dummyimage.com/190x100.png/dddddd/000000,M
